rest,category,score,count,latitude,longitude,post
비아메렝게 신촌,맥시칸,4.5,13,37.5586387,126.9381192,서울 서대문구 명물길 27-18
온더보더 여의도IFC점,맥시칸,4.1,44,37.5254716,126.9254259,서울 영등포구 국제금융로 10
코레아노스 키친 녹사평점,맥시칸,4.1,24,37.5344301,126.9882707,서울 용산구 녹사평대로40길 46
슈가스컬 종각역,맥시칸,4.3,27,37.569659,126.9847094,서울 종로구 우정국로2길 29
도스타코스 강남역점,맥시칸,4.5,20,37.5028257,127.0245354,서울 서초구 강남대로 455
바토스 파르나스몰점,맥시칸,4.4,23,37.5093927,127.0615999,서울 강남구 테헤란로 521
쿠차라 타임스퀘어점,맥시칸,4.3,20,37.5172637,126.9040418,서울 영등포구 영중로 15
바토스 롯데백화점 잠실점,맥시칸,4.0,34,37.512463,127.0987261,서울 송파구 올림픽로 240
슈가스컬 센트럴시티점,맥시칸,4.2,29,37.5030891,127.0040494,서울 서초구 신반포로 지하 188
플랜튜드 코엑스,채식,4.4,37,37.5117596,127.0591241,서울 강남구 영동대로 513
베이스이즈나이스 마포역,채식,4.3,6,37.5396372,126.9490947,서울 마포구 도화2길 20
유알티 홍대,채식,4.2,7,37.5576827,126.9161192,서울 마포구 월드컵북로7길 34
플랜튜드 아이파크몰 용산점,채식,4.2,28,37.5297717,126.9647415,서울 용산구 한강대로23길 55
고사리 익스프레스 신당역,채식,5.0,5,37.5662699,127.0200229,서울 중구 퇴계로85길 12-10
남미 플랜트랩 사당,채식,4.2,37,37.480635,126.9832998,서울 서초구 방배천로4안길 55
차호로록 영등포구청역,채식,4.8,6,37.5270187,126.898214,서울 영등포구 국회대로36길 3
바이두부 해방촌,채식,4.4,13,37.5461343,126.9852528,서울 용산구 소월로20길 10
어라운드 그린 망원,채식,4.5,13,37.5526878,126.9072599,서울 마포구 동교로 44-1
사라바나 바반 이태원,채식,4.6,4,37.5351322,126.9942911,서울 용산구 이태원로27가길 18
퍼멘츠 용산역,채식,4.8,13,37.52478,126.9618499,서울 용산구 한강대로7길 22
칙피스 성수점,채식,4.4,22,37.5444301,127.0528627,서울 성동구 연무장5길 9-16
우부래도 상도역,채식,4.2,6,37.503155,126.9486279,서울 동작구 상도로37길 3
플랜트 이태원,채식,4.2,14,37.5331396,126.994198,서울 용산구 보광로 117
소이로움 서촌,채식,4.4,9,37.5797205,126.9685899,서울 종로구 필운대로 41
샐러마리 망원동,채식,4.6,13,37.5571637,126.9029355,서울 마포구 망원로 55-3
달리아 다이닝 도산공원,채식,4.2,11,37.5232039,127.0357525,서울 강남구 도산대로45길 14
